Highlight,Title,Author,URL,Note,Location,Location Type,Date
Insufficient sleep robs most nations of more than 2 percent of their GDP—amounting to the entire cost of each country’s military.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,11,order,2025-10-11 22:21:00
"for healthy sleep, the scientific evidence suggests that you should avoid going to bed too full or too hungry, and shy away from diets that are excessively biased toward carbohydrates (greater than 70 percent of all energy intake), especially sugar.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,12,order,2025-10-11 22:16:00
"In younger, healthy adults, exercise frequently increases total sleep time, especially deep NREM sleep.It also deepens the quality of sleep, resulting in more powerful electrical brainwave activity.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,13,order,2025-10-11 22:13:00
Individuals taking sleeping pills were 30 to 40 percent more likely to develop cancer within the two-and-a-half-year period of the study than those who were not.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,14,order,2025-10-11 21:58:00
Those taking sleeping pills were 4.6 times more likely to die over this short two-and-a-half-year period than those who were not using sleeping pills.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,15,order,2025-10-11 21:57:00
"A bedroom temperature of around 65 degrees Fahrenheit (18.3°C) is ideal for the sleep of most people, assuming standard bedding and clothing. This surprises many, as it sounds just a little too cold for comfort.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,16,order,2025-10-09 22:05:00
"sleep helped the brainautomate the movement routines, making them second nature—effortless—precisely the goal of many an Olympic coach when perfecting the skills of their elite athletes.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,17,order,2025-09-15 23:24:00
"but when I wake up the next morning and sit back down at the piano, I can just play, perfectly",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,18,order,2025-09-15 23:20:00
"forgetting is not just beneficial to delete stored information we no longer need. It also lowers the brain resources required for retrieving those memories we want to retain, similar to the ease of finding important documents on a neatly organized,clutter-free desk.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,19,order,2025-09-15 23:08:00
"sleep protects newly acquired information, affording immunity against forgetting: an operation called consolidation.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,20,order,2025-09-15 23:01:00
"In that moment, we had just become privy to an electrical transaction occurring in the quiet secrecy of sleep: one that was shifting fact-based memories from the temporary storage depot (the hippocampus) to a long-term secure vault (the cortex).",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,21,order,2025-09-15 22:59:00
Shakespeare prophetically states that sleep is “the chief nourisher in life’s feast.”,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,22,order,2025-09-14 22:19:00
"By the time you reach seventy years old, you will have lost 80 to 90 percent of your youthful deep sleep.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,23,order,2025-09-14 22:00:00
"That older adults simply need less sleep is a myth.Older adults appear to need just as much sleep as they do in midlife, but are simply less able to generate that (still necessary) sleep.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,24,order,2025-09-14 21:59:00
"Should you ever have to give a presentation at work, for your own sake—and that of the conscious state of your listeners—if you can,avoid the midafternoon slot.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,25,order,2025-09-12 22:17:00
"The practice of biphasic sleep is not cultural in origin, however. It is deeply biological. All humans,irrespective of culture or geographical location, have a genetically hardwired dip in alertness that occurs in the midafternoon hours.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,26,order,2025-09-12 22:16:00
"Humans are not sleeping the way nature intended. The number of sleep bouts, the duration of sleep, and when sleep occurs have all been comprehensively distorted by modernity.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,27,order,2025-09-07 23:01:00
"Many of the explanations for why we sleep circle around a common, and perhaps erroneous, idea: sleep is the state we must enter in order to fix that which has been upset by wake.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,28,order,2025-09-05 22:35:00
"When it comes to information processing, think of the wake state principally asreception (experiencing and constantly learning the world around you), NREM sleep as reflection (storing and strengthening those raw ingredients of new facts and skills), and REM sleep as integration (interconnecting these raw ingredients with each other, with all past experiences, and, in doing so, building an ever more accurate model of how the world works,including innovative insights and problem-solving abilities).",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,29,order,2025-09-05 19:27:00
"Each and every night, REM sleep ushers you into a preposterous theater wherein you are treated to a bizarre, highly associative carnival of autobiographical themes",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,30,order,2025-09-05 19:26:00
vehicular accidents caused by drowsy driving exceed those caused by alcohol and drugs combined.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,31,order,2025-08-29 23:34:00
Kripke discovered that individuals using prescription sleep medications are significantly more likely to die and to develop cancer than those who do not.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,Is this correlational or causal?,32,order,2025-10-11 21:51:00
a chronic lack of sleep across the season predicted a massively higher risk of injury,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,"within-person ""causal"" effect or between-person effect. Are those with less sleep more prone to injury or do people becomes less accident prone the more they sleep?",33,order,2025-09-27 22:50:00
"It is perhaps unsurprising that in the small enclaves of Greece where siestas still remain intact, such as the island of Ikaria, men are nearly four times as likely to reach the age of ninety as American males.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,"remarkable. These blue zones are probably disappearing even more, given economic pressures",34,order,2025-09-12 22:23:00
"The more powerful and frequent an individual’s sleep spindles, the more resilient they are to external noises that would otherwise awaken the sleeper.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,Can this be trained?,35,order,2025-09-05 19:18:00
"Also be aware that de-caffeinated does not mean non-caffeinated. One cup of decaf usually contains 15 to 30 percent of the dose of a regular cup of coffee, which is far from caffeine-free.Should you drink three to four cups of decaf in the evening, it is just as damaging to your sleep as one regular cup of coffee.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,Pretty shocking.,36,order,2025-09-03 22:27:00
